ngay_ban,san_pham,khu_vuc,so_cuoc_goi,thoi_gian_trung_binh,so_luong_ban,camera_truoc,ram,the_nho,dung_luong_pin,man_hinh_rong,don_gia
2018-09-19,BlackBerry KEY2,Bắc Ninh,398,354,2285,8,4,128,3000,4.5,6200000
2018-09-20,BlackBerry KEY2,Bắc Ninh,206,406,2868,8,4,128,3000,4.5,6200000
2018-09-21,BlackBerry KEY2,Bắc Ninh,224,366,3477,8,4,128,3000,4.5,6200000
2018-09-22,BlackBerry KEY2,Bắc Ninh,350,320,3025,8,4,128,3000,4.5,6200000
2018-09-23,BlackBerry KEY2,Bắc Ninh,304,337,3808,8,4,128,3000,4.5,6200000
2018-09-24,BlackBerry KEY2,Bắc Ninh,324,384,1219,8,4,128,3000,4.5,6200000
2018-09-25,BlackBerry KEY2,Bắc Ninh,232,315,3876,8,4,128,3000,4.5,6200000
2018-09-26,BlackBerry KEY2,Bắc Ninh,339,385,3366,8,4,128,3000,4.5,6200000
2018-09-27,BlackBerry KEY2,Bắc Ninh,125,272,1480,8,4,128,3000,4.5,6200000
2018-09-28,BlackBerry KEY2,Bắc Ninh,295,494,1972,8,4,128,3000,4.5,6200000
2018-09-29,BlackBerry KEY2,Bắc Ninh,123,221,2148,8,4,128,3000,4.5,6200000
2018-09-30,BlackBerry KEY2,Bắc Ninh,361,345,1625,8,4,128,3000,4.5,6200000
2018-10-01,BlackBerry KEY2,Bắc Ninh,245,346,1421,8,4,128,3000,4.5,6200000
2018-10-02,BlackBerry KEY2,Bắc Ninh,394,381,1982,8,4,128,3000,4.5,6200000
2018-10-03,BlackBerry KEY2,Bắc Ninh,386,208,3321,8,4,128,3000,4.5,6200000
2018-10-04,BlackBerry KEY2,Bắc Ninh,104,299,2793,8,4,128,3000,4.5,6200000
2018-10-05,BlackBerry KEY2,Bắc Ninh,244,444,1389,8,4,128,3000,4.5,6200000
2018-10-06,BlackBerry KEY2,Bắc Ninh,341,255,1580,8,4,128,3000,4.5,6200000
2018-10-07,BlackBerry KEY2,Bắc Ninh,258,450,1327,8,4,128,3000,4.5,6200000
2018-10-08,BlackBerry KEY2,Bắc Ninh,233,211,3188,8,4,128,3000,4.5,6200000
2018-10-09,BlackBerry KEY2,Bắc Ninh,348,246,3319,8,4,128,3000,4.5,6200000
2018-10-10,BlackBerry KEY2,Bắc Ninh,127,345,3979,8,4,128,3000,4.5,6200000
2018-10-11,BlackBerry KEY2,Bắc Ninh,348,343,2144,8,4,128,3000,4.5,6200000
2018-10-12,BlackBerry KEY2,Bắc Ninh,365,334,2350,8,4,128,3000,4.5,6200000
2018-10-13,BlackBerry KEY2,Bắc Ninh,194,257,1886,8,4,128,3000,4.5,6200000
2018-10-14,BlackBerry KEY2,Bắc Ninh,191,302,1838,8,4,128,3000,4.5,6200000
2018-10-15,BlackBerry KEY2,Bắc Ninh,113,416,3787,8,4,128,3000,4.5,6200000
2018-10-16,BlackBerry KEY2,Bắc Ninh,107,385,3692,8,4,128,3000,4.5,6200000
2018-10-17,BlackBerry KEY2,Bắc Ninh,342,411,2804,8,4,128,3000,4.5,6200000
2018-10-18,BlackBerry KEY2,Bắc Ninh,234,428,3853,8,4,128,3000,4.5,6200000
2018-10-19,BlackBerry KEY2,Bắc Ninh,273,340,3388,8,4,128,3000,4.5,6200000
2018-10-20,BlackBerry KEY2,Bắc Ninh,218,216,2804,8,4,128,3000,4.5,6200000
2018-10-21,BlackBerry KEY2,Bắc Ninh,325,429,3528,8,4,128,3000,4.5,6200000
2018-10-22,BlackBerry KEY2,Bắc Ninh,289,214,3038,8,4,128,3000,4.5,6200000
2018-10-23,BlackBerry KEY2,Bắc Ninh,170,444,1859,8,4,128,3000,4.5,6200000
2018-10-24,BlackBerry KEY2,Bắc Ninh,263,273,2032,8,4,128,3000,4.5,6200000
2018-10-25,BlackBerry KEY2,Bắc Ninh,179,245,4022,8,4,128,3000,4.5,6200000
2018-10-26,BlackBerry KEY2,Bắc Ninh,187,393,1362,8,4,128,3000,4.5,6200000
2018-10-27,BlackBerry KEY2,Bắc Ninh,322,366,3267,8,4,128,3000,4.5,6200000
2018-10-28,BlackBerry KEY2,Bắc Ninh,150,488,2907,8,4,128,3000,4.5,6200000
2018-10-29,BlackBerry KEY2,Bắc Ninh,310,356,3768,8,4,128,3000,4.5,6200000
2018-10-30,BlackBerry KEY2,Bắc Ninh,120,485,1793,8,4,128,3000,4.5,6200000
2018-10-31,BlackBerry KEY2,Bắc Ninh,267,421,4000,8,4,128,3000,4.5,6200000
2018-11-01,BlackBerry KEY2,Bắc Ninh,158,426,1904,8,4,128,3000,4.5,6200000
2018-11-02,BlackBerry KEY2,Bắc Ninh,208,369,3587,8,4,128,3000,4.5,6200000
2018-11-03,BlackBerry KEY2,Bắc Ninh,100,484,2604,8,4,128,3000,4.5,6200000
2018-11-04,BlackBerry KEY2,Bắc Ninh,169,390,3221,8,4,128,3000,4.5,6200000
2018-11-05,BlackBerry KEY2,Bắc Ninh,378,276,3428,8,4,128,3000,4.5,6200000
2018-11-06,BlackBerry KEY2,Bắc Ninh,398,483,2206,8,4,128,3000,4.5,6200000
2018-11-07,BlackBerry KEY2,Bắc Ninh,261,357,1458,8,4,128,3000,4.5,6200000
2018-11-08,BlackBerry KEY2,Bắc Ninh,186,414,1393,8,4,128,3000,4.5,6200000
2018-11-09,BlackBerry KEY2,Bắc Ninh,181,226,2893,8,4,128,3000,4.5,6200000
2018-11-10,BlackBerry KEY2,Bắc Ninh,395,280,2067,8,4,128,3000,4.5,6200000
2018-11-11,BlackBerry KEY2,Bắc Ninh,303,326,3419,8,4,128,3000,4.5,6200000
2018-11-12,BlackBerry KEY2,Bắc Ninh,376,224,1881,8,4,128,3000,4.5,6200000
2018-11-13,BlackBerry KEY2,Bắc Ninh,399,457,3885,8,4,128,3000,4.5,6200000
